Date,Volume,Sentiment,y
2010-06-14,177920000,0,10190.889648
2010-06-15,203170000,1,10404.769531
2010-06-16,165700000,1,10409.459961
2010-06-17,181070000,1,10434.169922
2010-06-18,338010000,1,10450.639648
2010-06-21,165190000,0,10442.410156
2010-06-22,175750000,0,10293.519531
2010-06-23,195100000,1,10298.44043
2010-06-24,244440000,0,10152.799805
2010-06-25,434500000,0,10143.80957
2010-06-28,164100000,0,10138.519531
2010-06-29,290500000,0,9870.299805
2010-06-30,235090000,0,9774.019531
2010-07-01,262820000,0,9732.530273
2010-07-02,199570000,0,9686.480469
2010-07-06,261020000,1,9743.620117
2010-07-07,219560000,1,10018.280273
2010-07-08,192210000,1,10138.990234
2010-07-09,134810000,1,10198.030273
2010-07-12,131490000,1,10216.269531
2010-07-13,179040000,1,10363.019531
2010-07-14,208530000,1,10366.719727
2010-07-15,210000000,0,10359.30957
2010-07-16,335060000,0,10097.900391
2010-07-19,176970000,1,10154.429688
2010-07-20,194410000,1,10229.959961
2010-07-21,203900000,0,10120.530273
2010-07-22,202220000,1,10322.299805
2010-07-23,200000000,1,10424.620117
2010-07-26,178820000,1,10525.429688
2010-07-27,180550000,1,10537.69043
2010-07-28,162070000,0,10497.879883
2010-07-29,202110000,0,10467.160156
2010-07-30,208160000,0,10465.94043
2010-08-02,167640000,1,10674.379883
2010-08-03,164880000,0,10636.379883
2010-08-04,173360000,1,10680.429688
2010-08-05,139610000,0,10674.980469
2010-08-06,154870000,0,10653.55957
2010-08-09,166330000,1,10698.75
2010-08-10,203490000,0,10644.25
2010-08-11,219330000,0,10378.830078
2010-08-12,221030000,0,10319.950195
2010-08-13,151620000,0,10303.150391
2010-08-16,146040000,0,10302.009766
2010-08-17,191340000,1,10405.849609
2010-08-18,168560000,1,10415.540039
2010-08-19,227740000,0,10271.209961
2010-08-20,251150000,0,10213.620117
2010-08-23,173000000,0,10174.410156
2010-08-24,223680000,0,10040.450195
2010-08-25,183890000,1,10060.05957
2010-08-26,176330000,0,9985.80957
2010-08-27,207760000,1,10150.650391
2010-08-30,150480000,0,10009.730469
2010-08-31,255420000,1,10014.719727
2010-09-01,205710000,1,10269.469727
2010-09-02,149930000,1,10320.099609
2010-09-03,168600000,1,10447.929688
2010-09-07,149040000,0,10340.69043
2010-09-08,166760000,1,10387.009766
2010-09-09,163590000,1,10415.240234
2010-09-10,140320000,1,10462.769531
2010-09-13,190720000,1,10544.129883
2010-09-14,192410000,0,10526.490234
2010-09-15,167420000,1,10572.730469
2010-09-16,170300000,1,10594.830078
2010-09-17,367230000,1,10607.849609
2010-09-20,157120000,1,10753.620117
2010-09-21,186740000,1,10761.030273
2010-09-22,168590000,0,10739.30957
2010-09-23,156830000,0,10662.419922
2010-09-24,179270000,1,10860.259766
2010-09-27,143910000,0,10812.040039
2010-09-28,167110000,1,10858.139648
2010-09-29,158830000,0,10835.280273
2010-09-30,214540000,0,10788.049805
2010-10-01,161890000,1,10829.679688
2010-10-04,160370000,0,10751.269531
2010-10-05,216240000,1,10944.719727
2010-10-06,163440000,1,10967.650391
2010-10-07,141920000,0,10948.580078
2010-10-08,152280000,1,11006.480469
2010-10-11,114830000,1,11010.339844
2010-10-12,155150000,1,11020.400391
2010-10-13,224920000,1,11096.080078
2010-10-14,196170000,0,11094.570312
2010-10-15,319210000,0,11062.780273
2010-10-18,190290000,1,11143.69043
2010-10-19,247640000,0,10978.620117
2010-10-20,220140000,1,11107.969727
2010-10-21,178060000,1,11146.570312
2010-10-22,104570000,0,11132.55957
2010-10-25,168110000,1,11164.049805
2010-10-26,159040000,1,11169.459961
2010-10-27,167080000,0,11126.280273
2010-10-28,156250000,0,11113.950195
2010-10-29,189650000,1,11118.490234
2010-11-01,150130000,1,11124.620117
2010-11-02,150390000,1,11188.719727
2010-11-03,177580000,1,11215.129883
2010-11-04,234680000,1,11434.839844
2010-11-05,211670000,1,11444.080078
2010-11-08,143990000,0,11406.839844
2010-11-09,161910000,0,11346.75
2010-11-10,164170000,1,11357.040039
2010-11-11,296660000,0,11283.099609
2010-11-12,217650000,0,11192.580078
2010-11-15,155660000,1,11201.969727
2010-11-16,254570000,0,11023.5
2010-11-17,160250000,0,11007.879883
2010-11-18,171770000,1,11181.230469
2010-11-19,219400000,1,11203.549805
2010-11-22,152850000,0,11178.580078
2010-11-23,192820000,0,11036.370117
2010-11-24,138280000,1,11187.280273
2010-11-26,68400000,0,11091.870117
2010-11-29,151530000,0,11052.490234
2010-11-30,233770000,0,11006.019531
2010-12-01,202520000,1,11255.780273
2010-12-02,212090000,1,11362.410156
2010-12-03,149440000,1,11382.089844
